
*********************************************
* Sustained Attention and Recognition Memory Experiment - Memory Test v.1.0
* Date/Time: 01-Nov-2015 14:20:08
* Seed: 207608.7092
* Subject Number: 13
* Subject Name: MV
* Run Number: 1
* debug: 0
*********************************************

1	150	1	3	371	31	1	1.767
1	151	2	4	224	30	1	1.239
1	152	2	2	100	30	0	4.102
1	153	1	1	328	31	0	1.497
1	154	2	4	316	33	0	1.493
1	155	2	4	355	30	1	1.062
1	156	1	1	17	32	1	2.366
1	157	1	3	212	31	1	1.534
1	158	1	1	169	33	1	1.237
1	159	1	3	152	32	0	1.469
1	160	2	2	458	31	0	1.522
1	161	1	1	293	32	1	1.643
1	162	2	2	245	31	0	2.053
1	163	1	1	295	31	0	1.250
1	164	1	3	157	31	1	1.514
1	165	2	4	185	32	0	1.510
1	166	1	1	249	32	1	1.171
1	167	1	3	76	32	0	1.307
1	168	1	3	87	32	0	1.141
1	169	2	2	329	30	0	1.296
1	170	1	1	514	31	0	1.364
1	171	1	3	497	32	0	1.001
1	172	1	1	379	32	1	1.219
1	173	1	1	224	31	0	1.150
1	174	1	1	83	31	0	1.166
1	175	1	1	427	33	1	1.141
1	176	2	4	364	30	1	1.482
1	177	1	3	88	31	1	2.230
1	178	2	4	416	31	1	1.958
1	179	2	2	496	33	1	1.754
1	180	2	4	149	31	1	3.340
1	181	1	1	426	32	1	1.187
1	182	2	2	271	30	0	1.369
